local_file	thread_page	forum_image_url	original_data_url
newbies-v65-sabre-095.jpg	page-3	https://proxy.imagearchive.com/31f/31fa7544227a0a49e31c7f442f3968dd.jpg	http://i.imgur.com/DVWYqL6.jpg
newbies-v65-sabre-096.jpg	page-3	https://proxy.imagearchive.com/2e6/2e6c8de09d0074beee9d26ef359c768e.jpg	http://i.imgur.com/6cDjFgG.jpg
newbies-v65-sabre-097.jpg	page-3	https://proxy.imagearchive.com/0b9/0b99883df63c0bd0e75698158f0faf66.jpg	http://i.imgur.com/H38zTL8.jpg
newbies-v65-sabre-098.jpg	page-3	https://proxy.imagearchive.com/76b/76b8ea425d665e33ceba4d441ac42e9b.jpg	http://i.imgur.com/xwycFvR.jpg
newbies-v65-sabre-099.jpg	page-3	https://proxy.imagearchive.com/3ea/3ea08b715925ce7b8c15fca0e0aa1201.jpg	http://i.imgur.com/4Gd3Rta.jpg
newbies-v65-sabre-100.jpg	page-3	https://proxy.imagearchive.com/d54/d5439e20e2f25ab8edbb740d3a0a5cbf.jpg	http://i.imgur.com/KepQLEW.jpg
newbies-v65-sabre-101.jpg	page-3	https://proxy.imagearchive.com/d59/d59c0ec4bb4eb4c7ef860f67f0fd5544.jpg	http://i.imgur.com/q3XWs12.jpg
newbies-v65-sabre-102.jpg	page-4	https://proxy.imagearchive.com/ba8/ba84bbdab53f793491a4774b32323026.jpg	http://i.imgur.com/RIWygHF.jpg
newbies-v65-sabre-103.jpg	page-4	https://proxy.imagearchive.com/04b/04b7c2c0ed2a488486f76b0d1759f2c8.jpg	http://i.imgur.com/UzN4zfq.jpg
newbies-v65-sabre-104.jpg	page-4	https://proxy.imagearchive.com/0b0/0b0f5ac257de2a034160e4024739aad0.jpg	http://i.imgur.com/970CS5S.jpg
newbies-v65-sabre-105.jpg	page-4	https://proxy.imagearchive.com/3bc/3bcb718afbee4b324de2319e0a067109.jpg	http://i.imgur.com/3WMcMzo.jpg
newbies-v65-sabre-106.jpg	page-4	https://proxy.imagearchive.com/cd9/cd99ff4f804c17fbeb4a0bf2e09e328b.jpg	http://i.imgur.com/IVSzHGE.jpg
newbies-v65-sabre-107.jpg	page-4	https://proxy.imagearchive.com/d69/d69ba04d97b4e75ea6c799edb4986946.jpg	http://i.imgur.com/Fj0naOk.jpg
newbies-v65-sabre-108.jpg	page-4	https://proxy.imagearchive.com/408/40838fb2dbba67a31d5f42739f8fa920.jpg	http://i.imgur.com/ROdZRZr.jpg
newbies-v65-sabre-109.jpg	page-4	https://proxy.imagearchive.com/3f6/3f63a338f6d83c96b8eb47022650ffb7.jpg	http://i.imgur.com/8ebqSCw.jpg
newbies-v65-sabre-110.jpg	page-4	https://proxy.imagearchive.com/9ff/9ff71c8fd821a251af4c9cdcf3aaac2b.jpg	http://i.imgur.com/tzw2se9.jpg
newbies-v65-sabre-111.jpg	page-4	https://proxy.imagearchive.com/c65/c65635c765254f261390323a02602b87.jpg	http://i.imgur.com/n2IPCGA.jpg
newbies-v65-sabre-112.jpg	page-4	https://proxy.imagearchive.com/641/6410712c6a0505d1f0cdfe3306aca6e9.jpg	http://i.imgur.com/CEGIOLw.jpg
newbies-v65-sabre-113.jpg	page-4	https://proxy.imagearchive.com/dd2/dd23eefcbc2f64e936f6d211b4ba6b0a.jpg	http://i.imgur.com/kxlGqqV.jpg
newbies-v65-sabre-114.jpg	page-4	https://proxy.imagearchive.com/373/373c796a36fe2bb791b02cb6f5cc2c21.jpg	http://i.imgur.com/PCTAEVN.jpg
newbies-v65-sabre-115.jpg	page-4	https://proxy.imagearchive.com/743/743301e99ddc737e7dce0f06fd6d2c43.jpg	http://i.imgur.com/KPR9phu.jpg
newbies-v65-sabre-116.jpg	page-4	https://proxy.imagearchive.com/226/2262eabe724a7bca07d1e52af218072a.jpg	http://i.imgur.com/c2dn7Z2.jpg
newbies-v65-sabre-117.jpg	page-4	https://proxy.imagearchive.com/ba1/ba10659bfabe3b1b04394bcad9658f3a.jpg	http://i.imgur.com/juhKoMb.jpg
newbies-v65-sabre-118.jpg	page-4	https://proxy.imagearchive.com/48c/48c1815c2e750dad17e9d7c1902f72b6.jpg	http://i.imgur.com/gR0HWro.jpg
newbies-v65-sabre-119.jpg	page-4	https://proxy.imagearchive.com/223/22306c7df77f9db2c94c0db5e1e5965c.jpg	http://i.imgur.com/VXBnT8u.jpg
newbies-v65-sabre-120.jpg	page-4	https://proxy.imagearchive.com/817/8172ad6dbcffbc44dff4bc2c9de7f172.jpg	http://i.imgur.com/6Njr1Wl.jpg
newbies-v65-sabre-121.jpg	page-4	https://proxy.imagearchive.com/3d0/3d0b49348136eb3034acf0ce6656197a.jpg	http://i.imgur.com/4u30Rhk.jpg
newbies-v65-sabre-122.jpg	page-4	https://proxy.imagearchive.com/872/872a8786d0eedcc05a1e018a7be85458.jpg	http://i.imgur.com/LwK17nN.jpg
newbies-v65-sabre-123.jpg	page-4	https://proxy.imagearchive.com/42b/42b33022434b37478edbd6e0ffbc3fdf.jpg	http://i.imgur.com/HBqtFCo.jpg
newbies-v65-sabre-124.jpg	page-4	https://proxy.imagearchive.com/4ad/4ad84c23ec40d6050d7b6ff1826c05e2.jpg	http://i.imgur.com/HKtYvF7.jpg
newbies-v65-sabre-125.jpg	page-4	https://proxy.imagearchive.com/508/508eed8245d23671752f63136ed6b6ae.jpg	http://i.imgur.com/dGzpV5c.jpg
newbies-v65-sabre-126.jpg	page-4	https://proxy.imagearchive.com/15b/15b72163f3f254b74577cd8d5e2d1d50.jpg	http://i.imgur.com/G3NTgXW.jpg
newbies-v65-sabre-127.jpg	page-4	https://proxy.imagearchive.com/2e9/2e9d92be8f4a22c9c46d638b85df8b8c.jpg	http://i.imgur.com/4tYbSg4.jpg
newbies-v65-sabre-128.jpg	page-4	https://proxy.imagearchive.com/a4d/a4d5ced0fc83c066991b740032ae6e27.jpg	http://i.imgur.com/5Q4N6fY.jpg
newbies-v65-sabre-129.jpg	page-4	https://proxy.imagearchive.com/6ef/6ef70cc57293a364e25b740d2f410c9c.jpg	http://i.imgur.com/lfrqWBw.jpg
newbies-v65-sabre-130.jpg	page-4	https://proxy.imagearchive.com/cab/cab3df2d1dede583c24cddec9b5b6aa4.jpg	http://i.imgur.com/sltBb5J.jpg
newbies-v65-sabre-131.jpg	page-4	https://proxy.imagearchive.com/6f2/6f24352f51190ca4aef412da489c93cb.jpg	http://i.imgur.com/WHqATud.jpg
newbies-v65-sabre-132.jpg	page-4	https://proxy.imagearchive.com/d6a/d6a3d61f98534f396e026ccf6bb94cca.jpg	http://i.imgur.com/nnjdtoE.jpg
newbies-v65-sabre-133.jpg	page-4	https://proxy.imagearchive.com/ea1/ea1da34bd43d7c500d48fdfa053ab648.jpg	http://i.imgur.com/RbIw8Au.jpg
newbies-v65-sabre-134.jpg	page-4	https://proxy.imagearchive.com/828/828e426b27248b523236081fcd4b025b.jpg	http://i.imgur.com/PNlF4q1.jpg
newbies-v65-sabre-135.jpg	page-4	https://proxy.imagearchive.com/f91/f9193e75024445e13eee845c081b1678.jpg	http://i.imgur.com/RmtFFwC.jpg
newbies-v65-sabre-136.jpg	page-4	https://proxy.imagearchive.com/508/508a9a33a916c5eef7f83b7cb1bb3ef0.jpg	http://i.imgur.com/Pe8Y4IM.jpg
newbies-v65-sabre-137.jpg	page-4	https://proxy.imagearchive.com/51b/51b548b61ae9e806e948b964fff10163.jpg	http://i.imgur.com/0uIb9B0.jpg
newbies-v65-sabre-138.jpg	page-4	https://proxy.imagearchive.com/c09/c0987126569e8914094cf59eba22c0c8.jpg	http://i.imgur.com/bJKXBD2.jpg
newbies-v65-sabre-139.jpg	page-4	https://proxy.imagearchive.com/d65/d650e382bd7380b7b4329efda3e3402c.jpg	http://i.imgur.com/0QqFZYt.jpg
newbies-v65-sabre-140.jpg	page-4	https://proxy.imagearchive.com/8c3/8c33d14eb1e4af62ae3826c3baebbca0.jpg	http://i.imgur.com/FrhvyPl.jpg
newbies-v65-sabre-141.jpg	page-4	https://proxy.imagearchive.com/59f/59ff238ee6cb5a75650651ad33825270.jpg	http://i.imgur.com/ZKlLhuj.jpg
newbies-v65-sabre-142.jpg	page-4	https://proxy.imagearchive.com/0e4/0e40e84c84171a1568341a1096b04cc7.jpg	http://i.imgur.com/hJU4BmR.jpg
newbies-v65-sabre-143.jpg	page-4	https://proxy.imagearchive.com/f08/f086421050fd60abd04c4fc9666df5ec.jpg	http://i.imgur.com/tSao39q.jpg
newbies-v65-sabre-144.jpg	page-4	https://proxy.imagearchive.com/de9/de9be221fbb2b567867e446dcbf386db.jpg	http://i.imgur.com/oCQhqLS.jpg
newbies-v65-sabre-145.jpg	page-4	https://proxy.imagearchive.com/a25/a25518f8597c0e87d8e2aaabc5fa9fa9.jpg	http://i.imgur.com/YNyTCNt.jpg
newbies-v65-sabre-146.jpg	page-4	https://proxy.imagearchive.com/b2d/b2da52510712877ccabab72ccc9da9e7.jpg	http://i.imgur.com/YMkO9wo.jpg
newbies-v65-sabre-147.jpg	page-4	https://proxy.imagearchive.com/1ce/1ce7855ba74037517803147714a55648.jpg	http://i.imgur.com/CadRjE1.jpg
newbies-v65-sabre-148.jpg	page-4	https://proxy.imagearchive.com/26a/26ae21ee92b6f7b9b9e8b0ac4fbcf05d.jpg	http://i.imgur.com/YriBVlB.jpg
newbies-v65-sabre-149.jpg	page-4	https://proxy.imagearchive.com/55a/55acf2c3dda514eca242c9e01fe18925.jpg	http://i.imgur.com/QG78Kjb.jpg
newbies-v65-sabre-150.jpg	page-4	https://proxy.imagearchive.com/42c/42c0a2fc19f9065e7754913068eefc58.jpg	http://i.imgur.com/GNGWPkX.jpg
newbies-v65-sabre-151.jpg	page-4	https://proxy.imagearchive.com/7d8/7d873e1d1de1d45ea4b0091c87bdab11.jpg	http://i.imgur.com/uMD2rgS.jpg
newbies-v65-sabre-152.jpg	page-4	https://proxy.imagearchive.com/c14/c14c32eb7f1a3f719b770dd8872cec7a.jpg	http://i.imgur.com/dPW9sBm.jpg
newbies-v65-sabre-153.jpg	page-4	https://proxy.imagearchive.com/89d/89d0f8d05fb3122c50efa6a2dcddb612.jpg	http://i.imgur.com/CikuatJ.jpg
newbies-v65-sabre-154.jpg	page-4	https://proxy.imagearchive.com/b4a/b4a8a56bd6e79833c8d7ea8137b11e98.jpg	http://i.imgur.com/wA9h2eH.jpg
newbies-v65-sabre-155.jpg	page-4	https://proxy.imagearchive.com/e1b/e1bddfba86a0af640883471dd6537084.jpg	http://i.imgur.com/FywRKay.jpg
newbies-v65-sabre-156.jpg	page-4	https://proxy.imagearchive.com/7fc/7fcf694c83f84153b88d29038f21f73c.jpg	http://i.imgur.com/2m5ce35.jpg
newbies-v65-sabre-157.jpg	page-4	https://proxy.imagearchive.com/1ff/1ff1afac5bfbe0795aa30e3c697a9137.jpg	http://i.imgur.com/WieQonD.jpg
newbies-v65-sabre-158.jpg	page-4	https://proxy.imagearchive.com/a54/a54eecec58d0a14191a8df7f3a416c01.jpg	http://i.imgur.com/wzSx9xE.jpg
newbies-v65-sabre-159.jpg	page-4	https://proxy.imagearchive.com/6d5/6d5e55d5aff8663dc41af99bd5cdc822.jpg	http://i.imgur.com/wfWJvnJ.jpg
newbies-v65-sabre-160.jpg	page-4	https://proxy.imagearchive.com/397/397d72a3b24014a4f6605ee6180fc331.jpg	http://i.imgur.com/ZL3aYha.jpg
newbies-v65-sabre-161.jpg	page-4	https://proxy.imagearchive.com/2a5/2a57ef33d3a82520e312caee04a7d377.jpg	http://i.imgur.com/Zyf8jlp.jpg
newbies-v65-sabre-162.jpg	page-4	https://proxy.imagearchive.com/6e3/6e342389f4b4cffb3b158de3b79bd879.jpg	http://i.imgur.com/fTsrOPZ.jpg
